id,lat,lon
W_248509583,58.36097696683626,26.708257997898663
W_3099060970,58.36097940162406,26.701866900921477
W_6694844316,58.36099204850076,26.731322211501347
W_5200254993,58.36099243294624,26.721455659185377
W_6516807778,58.36100716482739,26.701986982491118
W_cluster_330044899_330044902,58.361011454307544,26.705744929124492
W_1724503748,58.361013810855056,26.776173710719405
W_330045262,58.3610147119359,26.699183940615804
W_330044776,58.36101601938452,26.682355969006657
W_1610343176,58.3610160318848,26.71734645808183
W_248509603,58.36101901837389,26.704038571839675
W_4034661474,58.361030989937476,26.685181204414363
W_cluster_330045730_7997593285,58.36103124780735,26.694483796696577
W_7578925599,58.361040131063085,26.752598554069973
W_6516807749,58.36104782384936,26.69963022867277
W_10700387079,58.361049369254395,26.699140749170166
W_8538740268,58.361057831373266,26.6898500406627
W_cluster_330045655_8107321167,58.36107211087563,26.726797288792117
W_6694843880,58.361076255500905,26.738109495609944
W_6694844319,58.361090729193805,26.731180979539968
W_6694844019,58.36109146058885,26.742417676757153
W_4688562725,58.36109532056165,26.770516823881586
W_cluster_1286291358_330045647_330045677_8107349317,58.361101216363906,26.721463176692176
W_cluster_3099060963_7004672353,58.36111176750046,26.70174136749148
W_6694844001,58.361118862875514,26.741041365231155
W_7578925595,58.361120504828605,26.75301140635975
W_cluster_330045263_330045358_7997593301,58.361127369723974,26.699310818183683
W_4034661463,58.361129321875104,26.680568496273033
W_330046399,58.36113999235863,26.707946976079786
W_6694844264,58.36114461664551,26.74429243995383
W_6489238979,58.361146350964106,26.729699850351814
W_330044348,58.36115897092716,26.684886281746714
W_cluster_330045157_8107349393,58.36116318083749,26.73069660131368
W_3139882142,58.361172721378985,26.771107646798892
W_5200254996,58.361180872787735,26.721458447669704
W_cluster_330041988_7004655437,58.361196707026586,26.710774622304076
W_3099060961,58.36121935609057,26.702973189758506
W_6694844321,58.36122850682818,26.730924431261833
W_6694844314,58.36126440389531,26.730739581949216
W_cluster_6694844315_6694844318_6694844320,58.361268882890755,26.731204235594895
W_4034661470,58.36126892900826,26.68029378853785
W_330045369,58.36128581065554,26.69272965822688
W_248509588,58.36128597567437,26.708236991255166
W_8163689135,58.361290258459796,26.714560922045013
W_6516807761,58.361306390877594,26.699662897166384
W_6161847084,58.3613132565667,26.71800907097263
W_6694844022,58.361320802548036,26.741591565071253
W_330045618,58.361320999644484,26.736225857945342
W_330044277,58.36133695647514,26.735818986910328
W_330042753,58.361351132863774,26.70371705573999
W_330044210,58.36135866144418,26.69676544995727
W_330042555,58.3613629999089,26.72716487885496
W_248509590,58.36137002498166,26.709136964862765
W_10621469397,58.361371700786925,26.775184816082064
W_963480157,58.361373067872954,26.687625685944845
W_6694843847,58.36137583478953,26.737560383205967
W_8163689134,58.36138220569917,26.713705144386353
W_13148196304,58.361389810750595,26.728665897320024
W_11861679088,58.36139086780023,26.737927716248883
W_330045614,58.3613910271569,26.73438691619282
W_6694843876,58.36139880380361,26.738119070481734
W_6694844317,58.36142022119745,26.731331947498976
W_4034661459,58.361420606584446,26.681257859728184
W_8107349411,58.36142631869443,26.724604750572123
W_13148140699,58.3614324651024,26.729681256811137
W_330044208,58.36145036637171,26.69737411098029
W_8157535463,58.3614563730237,26.715145785265314
W_cluster_6694844271_6694844322,58.36146290837827,26.739075320909613
W_330045290,58.36146329157657,26.691536053070422
W_cluster_10700387069_330045347_330045540_330046095_#3more,58.36146672691467,26.70151295024512
W_cluster_11331190082_330045612_330045621,58.36146701792789,26.73292186177652
W_8107349395,58.361484995272285,26.73095495181339
W_7997593303,58.36149692476235,26.70167556805023
W_6694844020,58.36150283321676,26.742783151802243
W_3269694054,58.36151281166358,26.771536809627758
W_330045152,58.361517023152416,26.730723986263516
W_cluster_1257929908_330044679_963494739,58.36152115552019,26.690428764989665
W_cluster_330045610_330046301_4393475277_6694843994_#2more,58.36152471959869,26.74018848250584
W_564730099,58.36152502971826,26.717351448134366
W_330045624,58.36152593054671,26.7309450697192
W_cluster_6694843995_6694844002,58.3615299920249,26.740662705477657
W_cluster_1286291354_330045850_4813108057_5200254999_#2more,58.36154507413101,26.721457459261153
W_4017555472,58.36154949616761,26.74000526100745
W_6489238980,58.3615546877445,26.729673315511548
W_963490295,58.361557334001,26.68982771517979
W_6694711498,58.361576171913605,26.690300445976458
W_8107349394,58.361576934013904,26.73093938363992
W_6694844296,58.361577187102526,26.73834317377625
W_6694844014,58.3615868087498,26.743767639649274
W_8157535462,58.361587980511494,26.71378841870259
W_4791820174,58.36159418700662,26.739986816492365
W_6985543966,58.361599435546616,26.691193566796954
W_6694844275,58.36160179428739,26.739046267757047
W_4791820173,58.36161012477844,26.740316546948748
W_cluster_330045653_330045654_4522054388_4522054389_#3more,58.36161523291998,26.724870063213842
W_6694711499,58.36161678617596,26.69056772891803
W_5200254985,58.36162131314815,26.7249828136471
W_cluster_8363642843_8363642844,58.361623451568924,26.722476978014335
W_cluster_330044363_963476481,58.361626410439655,26.68490125837699
W_6694844015,58.36162831412117,26.74269781184325
W_963490296,58.36164127707478,26.689813306503115
W_6694843997,58.36164427612139,26.743043096046414
W_cluster_198941250_330044710_330044716_5876077465_#3more,58.361644400698296,26.690956640276937
W_cluster_8107321164_8363642829,58.36164956446733,26.723046914878918
W_330045141,58.36165180622406,26.73070945849296
W_8107349388,58.361652426200855,26.73061989914852
W_13148140694,58.361652564291646,26.73077097879833
W_330347096,58.361669910737426,26.685753863478595
W_248509682,58.36168056123934,26.700351718516913
W_cluster_330045660_4522054387_5200254986,58.36168339408521,26.724406377815598
W_6694683682,58.361684254009354,26.685962412539727
W_1116794090,58.36168902093542,26.6849048022982
